cluster_label,feature,is_numeric_feature,global_mean,mean,global_std,std,proportion,global_proportion,relative_importance
cluster_0,MoreThanAvgDonator_Dec_Jan_Feb_quarter,true,0.5673383737562678,0.0,0.49544674044678383,0.0,,,-408.4638259591169
cluster_0,MoreThanAvgDonator_Set_Oct_Nov_quarter,true,0.45502915795595655,0.0,0.49797547360193306,0.0,,,-325.9415230100324
cluster_0,MoreThanAvgDonator_Jun_Jul_Aug_quarter,true,0.43775444442697936,0.0,0.4961123110727495,0.0,,,-314.7450994050191
cluster_0,christmas,true,0.16947767176472436,0.0,0.37517475498839287,0.0,,,-161.13404095580694
cluster_0,emergency_prop,true,0.06739660430634195,0.0017245129918140277,0.14662142758313373,0.01757107071735413,,,-150.85986210872156
cluster_0,canal_fav=Mailing,false,,,,,0.012110726643598616,0.16457347647715306,-111.29309367858883
cluster_0,oport_amount_count,true,5.085406875304548,2.843225978174075,7.9784869952355075,1.6365477203893455,,,-86.07790009893603
cluster_0,canal_fav=TLMK,false,,,,,0.030409901517167954,0.15255662616513935,-70.78042502483393
cluster_0,canal_fav=Captacion_offline,false,,,,,0.373635879691243,0.12064791964664644,62.45782748494653
cluster_0,canal_fav=Officers,false,,,,,1.3308490817141337E-4,0.01984470048256024,-49.01556269707178
cluster_0,MoreThanAvgDonator_Mar_Apr_May_quarter,true,0.4676275955296374,0.3101543784934788,0.4989528875846692,0.4625720249596721,,,-39.13071784145455
cluster_0,canal_fav=Emailings,false,,,,,0.0328719723183391,0.070262028639243,-23.06057091275738
cluster_0,canal_fav=Desconocido,false,,,,,0.4423076923076923,0.35650513211461987,20.10297395911629
cluster_0,canal_fav=Otros,false,,,,,0.005589566143199361,0.00708121787516308,-2.287756454261774
cluster_0,canal_fav=Captacion_digital,false,,,,,0.10294117647058823,0.108528898599475,-2.1264076269288212
cluster_1,MoreThanAvgDonator_Jun_Jul_Aug_quarter,true,0.43775444442697936,1.0,0.4961123110727495,0.0,,,404.25410988232574
cluster_1,MoreThanAvgDonator_Set_Oct_Nov_quarter,true,0.45502915795595655,1.0,0.49797547360193306,0.0,,,390.36756908024006
cluster_1,MoreThanAvgDonator_Mar_Apr_May_quarter,true,0.4676275955296374,1.0,0.4989528875846692,0.0,,,380.5961689227555
cluster_1,MoreThanAvgDonator_Dec_Jan_Feb_quarter,true,0.5673383737562678,1.0,0.49544674044678383,0.0,,,311.50126868931164
cluster_1,christmas,true,0.16947767176472436,6.203858800173708E-5,0.37517475498839287,0.007876457833425932,,,-160.7955833346938
cluster_1,oport_amount_count,true,5.085406875304548,15.360568273466097,7.9784869952355075,17.73011256309022,,,72.65173076514515
cluster_1,canal_fav=TLMK,false,,,,,0.03170171846888765,0.15255662616513935,-70.71948553756872
cluster_1,canal_fav=Captacion_offline,false,,,,,0.02636639990073826,0.12064791964664644,-60.52630825805901
cluster_1,canal_fav=Mailing,false,,,,,0.3642285501581984,0.16457347647715306,50.800021023669046
cluster_1,canal_fav=Captacion_digital,false,,,,,0.03871207891308394,0.108528898599475,-39.85267092435871
cluster_1,canal_fav=Officers,false,,,,,0.004528816924126807,0.01984470048256024,-23.287310136654174
cluster_1,canal_fav=Desconocido,false,,,,,0.4302996463800484,0.35650513211461987,17.891880620629102
cluster_1,emergency_prop,true,0.06739660430634195,0.055877839488458744,0.14662142758313373,0.0673626726741855,,,-17.162161256817424
cluster_1,canal_fav=Otros,false,,,,,0.0014268875240399529,0.00708121787516308,-14.918349999698997
cluster_1,canal_fav=Emailings,false,,,,,0.1027359017308766,0.070262028639243,13.008081941891168
cluster_10,MoreThanAvgDonator_Set_Oct_Nov_quarter,true,0.45502915795595655,1.0,0.49797547360193306,0.0,,,390.36756908024006
cluster_10,MoreThanAvgDonator_Mar_Apr_May_quarter,true,0.4676275955296374,1.0,0.4989528875846692,0.0,,,380.5961689227555
cluster_10,MoreThanAvgDonator_Jun_Jul_Aug_quarter,true,0.43775444442697936,0.0,0.4961123110727495,0.0,,,-314.7450994050191
cluster_10,MoreThanAvgDonator_Dec_Jan_Feb_quarter,true,0.5673383737562678,1.0,0.49544674044678383,0.0,,,311.50126868931164
cluster_10,christmas,true,0.16947767176472436,0.0,0.37517475498839287,0.0,,,-161.13404095580694
cluster_10,canal_fav=Captacion_offline,false,,,,,0.020775193798449613,0.12064791964664644,-50.012366276493694
cluster_10,emergency_prop,true,0.06739660430634195,0.09722300000940921,0.14662142758313373,0.11664356530977808,,,19.76006955358289
cluster_10,canal_fav=Mailing,false,,,,,0.24806201550387597,0.16457347647715306,15.242974054855718
cluster_10,canal_fav=Emailings,false,,,,,0.12589147286821706,0.070262028639243,13.269836407700309
cluster_10,canal_fav=Officers,false,,,,,0.0074418604651162795,0.01984470048256024,-10.886133169628671
cluster_10,canal_fav=TLMK,false,,,,,0.11891472868217054,0.15255662616513935,-8.097645255492354
cluster_10,oport_amount_count,true,5.085406875304548,5.36077519379845,7.9784869952355075,2.4625423378501954,,,7.255419415042988
cluster_10,canal_fav=Captacion_digital,false,,,,,0.09255813953488372,0.108528898599475,-4.30194829318522
cluster_10,canal_fav=Desconocido,false,,,,,0.38232558139534883,0.35650513211461987,4.165899067154544
cluster_10,canal_fav=Otros,false,,,,,0.004031007751937985,0.00708121787516308,-3.70518785185943
cluster_11,MoreThanAvgDonator_Dec_Jan_Feb_quarter,true,0.5673383737562678,0.0,0.49544674044678383,0.0,,,-408.4638259591169
cluster_11,MoreThanAvgDonator_Set_Oct_Nov_quarter,true,0.45502915795595655,1.0,0.49797547360193306,0.0,,,390.36756908024006
cluster_11,MoreThanAvgDonator_Jun_Jul_Aug_quarter,true,0.43775444442697936,0.0,0.4961123110727495,0.0,,,-314.7450994050191
cluster_11,christmas,true,0.16947767176472436,0.0,0.37517475498839287,0.0,,,-161.13404095580694
cluster_11,emergency_prop,true,0.06739660430634195,0.014674530505516899,0.14662142758313373,0.05543953255764683,,,-74.30791382519686
cluster_11,oport_amount_count,true,5.085406875304548,2.89651795429815,7.9784869952355075,1.8457961983630706,,,-74.16691005956898
cluster_11,canal_fav=Desconocido,false,,,,,0.22916213275299238,0.35650513211461987,-27.772238592512863
cluster_11,canal_fav=Officers,false,,,,,0.0029379760609358,0.01984470048256024,-24.61850722397098
cluster_11,canal_fav=TLMK,false,,,,,0.25364526659412406,0.15255662616513935,21.74297888571583
cluster_11,canal_fav=Otros,false,,,,,0.021109902067464634,0.00708121787516308,9.242568116289805
cluster_11,canal_fav=Captacion_offline,false,,,,,0.15386289445048967,0.12064791964664644,8.576013777957233
cluster_11,MoreThanAvgDonator_Mar_Apr_May_quarter,true,0.4676275955296374,0.44047878128400436,0.4989528875846692,0.49647159578349304,,,-5.060860298069513
cluster_11,canal_fav=Emailings,false,,,,,0.08509249183895538,0.070262028639243,4.947676918408639
cluster_11,canal_fav=Captacion_digital,false,,,,,0.09445048966267683,0.108528898599475,-4.437100073685416
cluster_11,canal_fav=Mailing,false,,,,,0.15973884657236126,0.16457347647715306,-1.2207016352569038
cluster_2,christmas,true,0.16947767176472436,1.0,0.37517475498839287,0.0,,,789.6345132611734
cluster_2,MoreThanAvgDonator_Jun_Jul_Aug_quarter,true,0.43775444442697936,0.050199847735059006,0.4961123110727495,0.21836229498142637,,,-189.03453082850677
cluster_2,MoreThanAvgDonator_Set_Oct_Nov_quarter,true,0.45502915795595655,0.056147696992767414,0.49797547360193306,0.23021219535829715,,,-188.64928124578478
cluster_2,MoreThanAvgDonator_Mar_Apr_May_quarter,true,0.4676275955296374,0.06209554625047583,0.4989528875846692,0.24133474827582357,,,-186.5044542491563
cluster_2,emergency_prop,true,0.06739660430634195,0.004792353779989127,0.14662142758313373,0.033176727486998195,,,-133.0705138456349
cluster_2,oport_amount_count,true,5.085406875304548,3.2709364293871337,7.9784869952355075,2.1677813853608767,,,-67.43903778083846
cluster_2,MoreThanAvgDonator_Dec_Jan_Feb_quarter,true,0.5673383737562678,0.7729349067377237,0.49544674044678383,0.4189449703396085,,,64.12165062338664
cluster_2,canal_fav=Mailing,false,,,,,0.05567186905215074,0.16457347647715306,-57.53931042856977
cluster_2,canal_fav=TLMK,false,,,,,0.05657594213932242,0.15255662616513935,-50.89962555256245
cluster_2,canal_fav=Officers,false,,,,,0.1020175104682147,0.01984470048256024,38.68540156253364
cluster_2,canal_fav=Emailings,false,,,,,0.02559954320517701,0.070262028639243,-34.25128718323368
cluster_2,canal_fav=Desconocido,false,,,,,0.4548439284354777,0.35650513211461987,26.664216191097
cluster_2,canal_fav=Captacion_digital,false,,,,,0.17386752950133233,0.108528898599475,23.70850664907958
cluster_2,canal_fav=Captacion_offline,false,,,,,0.12519033117624667,0.12064791964664644,1.8475216544614497
cluster_2,canal_fav=Otros,false,,,,,0.006233346022078416,0.00708121787516308,-1.4331436298312334
cluster_3,MoreThanAvgDonator_Jun_Jul_Aug_quarter,true,0.43775444442697936,1.0,0.4961123110727495,0.0,,,404.25410988232574
cluster_3,MoreThanAvgDonator_Mar_Apr_May_quarter,true,0.4676275955296374,1.0,0.4989528875846692,0.0,,,380.5961689227555
cluster_3,MoreThanAvgDonator_Set_Oct_Nov_quarter,true,0.45502915795595655,0.0,0.49797547360193306,0.0,,,-325.9415230100324
cluster_3,MoreThanAvgDonator_Dec_Jan_Feb_quarter,true,0.5673383737562678,1.0,0.49544674044678383,0.0,,,311.50126868931164
cluster_3,christmas,true,0.16947767176472436,0.0,0.37517475498839287,0.0,,,-161.13404095580694
cluster_3,canal_fav=Captacion_offline,false,,,,,0.04728132387706856,0.12064791964664644,-22.62545016073964
cluster_3,canal_fav=TLMK,false,,,,,0.0879002793896411,0.15255662616513935,-15.136300126207724
cluster_3,canal_fav=Otros,false,,,,,6.447453255963894E-4,0.00708121787516308,-14.623233820445726
cluster_3,canal_fav=Mailing,false,,,,,0.25059101654846333,0.16457347647715306,13.362080710732783
cluster_3,canal_fav=Officers,false,,,,,0.006017623038899635,0.01984470048256024,-11.529108488096712
cluster_3,emergency_prop,true,0.06739660430634195,0.0863349609103098,0.14662142758313373,0.11419486840923723,,,10.986280237474924
cluster_3,oport_amount_count,true,5.085406875304548,5.923705136471094,7.9784869952355075,5.4371638286381705,,,10.125900574643104
cluster_3,canal_fav=Desconocido,false,,,,,0.4119922630560928,0.35650513211461987,7.560145779848383
cluster_3,canal_fav=Emailings,false,,,,,0.10122501611863315,0.070262028639243,6.912127313664752
cluster_3,canal_fav=Captacion_digital,false,,,,,0.09434773264560499,0.108528898599475,-3.24281148863592
cluster_4,MoreThanAvgDonator_Dec_Jan_Feb_quarter,true,0.5673383737562678,0.0,0.49544674044678383,0.0,,,-408.4638259591169
cluster_4,MoreThanAvgDonator_Jun_Jul_Aug_quarter,true,0.43775444442697936,1.0,0.4961123110727495,0.0,,,404.25410988232574
cluster_4,MoreThanAvgDonator_Mar_Apr_May_quarter,true,0.4676275955296374,1.0,0.4989528875846692,0.0,,,380.5961689227555
cluster_4,christmas,true,0.16947767176472436,0.0,0.37517475498839287,0.0,,,-161.13404095580694
cluster_4,canal_fav=Mailing,false,,,,,0.2750975800156128,0.16457347647715306,19.47264437928578
